,RefId,ExecutableType,ObjectName,componentClassID,contactInfo,description,name,SqlTaskData,File_path
0,Package,Microsoft.Package,DimAccreditation,,,,,,DataLakeBaseToMart_DimAccreditation
1,Package\Dimension - Data Load,STOCK:SEQUENCE,Dimension - Data Load,,,,,,DataLakeBaseToMart_DimAccreditation
2,Package\Dimension - Data Load\DFT - Load new records From Landing to Dim,Microsoft.Pipeline,DFT - Load new records From Landing to Dim,Microsoft.OLEDBDestination,OLE DB Destination;Microsoft Corporation; Microsoft SQL Server; (C) Microsoft Corporation; All Rights Reserved; http://www.microsoft.com/sql/support;4,OLE DB Destination,DST - Dim Table,,DataLakeBaseToMart_DimAccreditation
3,Package\Dimension - Data Load\DFT - Load new records From Landing to Dim,Microsoft.Pipeline,DFT - Load new records From Landing to Dim,Microsoft.RowCount,Row Count;Microsoft Corporation; Microsoft SQL Server; (C) Microsoft Corporation; All Rights Reserved; http://www.microsoft.com/sql/support;0,"Counts rows as they pass through a data flow. For example, use the number of rows processed to determine whether or not to perform cleanup operations, or update text in an e-mail message to communicate processing status.",RC - InsertCount,,DataLakeBaseToMart_DimAccreditation
4,Package\Dimension - Data Load\DFT - Load new records From Landing to Dim,Microsoft.Pipeline,DFT - Load new records From Landing to Dim,Microsoft.OLEDBSource,OLE DB Source;Microsoft Corporation; Microsoft SQL Server; (C) Microsoft Corporation; All Rights Reserved; http://www.microsoft.com/sql/support;7,OLE DB Source,SRC - Landing table,,DataLakeBaseToMart_DimAccreditation
5,Package\Dimension - Data Load\SQL - Begin Load Audit Log,Microsoft.ExecuteSQLTask,SQL - Begin Load Audit Log,,,,,"EXECUTE [dbo].[spBeginAuditLog] ? OUTPUT, ?, ?
GO",DataLakeBaseToMart_DimAccreditation
6,Package\Dimension - Data Load\SQL - End Audit Log,Microsoft.ExecuteSQLTask,SQL - End Audit Log,,,,,"EXECUTE [dbo].[spEndAuditLog] ?, ?, ?, ?, ?
GO",DataLakeBaseToMart_DimAccreditation
7,Package\Dimension - Data Load\SQL - Seed Row Insert if doesn't exists,Microsoft.ExecuteSQLTask,SQL - Seed Row Insert if doesn't exists,,,,,"IF NOT EXISTS (SELECT 1 FROM dbo.DimAccreditation WHERE AccreditationKey  IN (-1,-2))
	BEGIN
			SET IDENTITY_INSERT dbo.DimAccreditation ON;
			INSERT INTO [dbo].[DimAccreditation]
			           ([AccreditationKey]
			           ,[QualificationID]
			           ,[Accreditation]
			           ,[AreaOfStudy]
			           ,[AccreditationDate]
			           ,[Comments]
			           ,[CreatedDate]
			           ,[ModifiedDate]
			           ,[InsertAuditID])
			SELECT		-1
						, -1
						, 'Unknown Accredititaion'
						, 'Unknown Area of Study'
						, '1900-01-01'
						, 'Unknown Comments'
						, GETDATE()
						, GETDATE()
						,?
			UNION 
			SELECT		-2
						, -2
						, 'Not Applicable Accredititaion'
						, 'Not Applicable Area of Study'
						, '1900-01-01'
						, 'Not Applicable Comments'
						, GETDATE()
						, GETDATE()
						,?;
SELECT @@ROWCOUNT  + ? AS InsertCount;
SET IDENTITY_INSERT dbo.DimAccreditation OFF;
END
ELSE SELECT 0 as InsertCount;",DataLakeBaseToMart_DimAccreditation
8,Package\Dimension - Data Load\SQL - Source Count,Microsoft.ExecuteSQLTask,SQL - Source Count,,,,,User::vLandingCountQuery,DataLakeBaseToMart_DimAccreditation
9,Package\Dimension - Data Load\SQL - Update LastProcessed Date,Microsoft.ExecuteSQLTask,SQL - Update LastProcessed Date,,,,,"UPDATE  dbo.ETLBatchControl 
SET LastProcessedDate = GETDATE()
, Status = 'Success'
WHERE Tablename = ?;",DataLakeBaseToMart_DimAccreditation
