File_path,ExecutableType,difficulty,total,Estimation
StagingtoEDWCSS_FactNetRevenueCSS,Microsoft.Package,0,1,0
StagingtoEDWCSS_FactNetRevenueCSS,STOCK:SEQUENCE,0,1,0
StagingtoEDWCSS_FactNetRevenueCSS,Microsoft.ExecuteSQLTask,1,1,1
StagingtoEDWCSS_FactLifeCycleStatusSnapshot,Microsoft.Package,0,1,0
StagingtoEDWCSS_FactLifeCycleStatusSnapshot,STOCK:SEQUENCE,0,1,0
StagingtoEDWCSS_FactLifeCycleStatusSnapshot,Microsoft.ExecuteSQLTask,1,1,1
StagingtoEDWCSS_FactLaborHourTarget,Microsoft.Package,0,1,0
StagingtoEDWCSS_FactLaborHourTarget,STOCK:SEQUENCE,0,1,0
StagingtoEDWCSS_FactLaborHourTarget,Microsoft.ExecuteSQLTask,1,1,1
StagingtoEDWCSS_FactFTESnapshotCSS,Microsoft.Package,0,1,0
StagingtoEDWCSS_FactFTESnapshotCSS,STOCK:SEQUENCE,0,1,0
StagingtoEDWCSS_FactFTESnapshotCSS,Microsoft.ExecuteSQLTask,1,1,1
StagingtoEDWCSS_DimTuitionAssistanceProviderCSS,Microsoft.Package,0,1,0
StagingtoEDWCSS_DimTuitionAssistanceProviderCSS,STOCK:SEQUENCE,0,1,0
StagingtoEDWCSS_DimTuitionAssistanceProviderCSS,Microsoft.ExecuteSQLTask,1,1,1
StagingtoEDWCSS_DimTransactionCodeCSS,Microsoft.Package,0,1,0
StagingtoEDWCSS_DimTransactionCodeCSS,STOCK:SEQUENCE,0,1,0
StagingtoEDWCSS_DimTransactionCodeCSS,Microsoft.ExecuteSQLTask,1,1,1
StagingtoEDWCSS_DimTierCSS,Microsoft.Package,0,1,0
StagingtoEDWCSS_DimTierCSS,STOCK:SEQUENCE,0,1,0
StagingtoEDWCSS_DimTierCSS,Microsoft.ExecuteSQLTask,1,1,1
StagingtoEDWCSS_DimStudentCSS,Microsoft.Package,0,1,0
StagingtoEDWCSS_DimStudentCSS,STOCK:SEQUENCE,0,1,0
StagingtoEDWCSS_DimStudentCSS,Microsoft.ExecuteSQLTask,1,1,1
StagingtoEDWCSS_DimSponsorCSS,Microsoft.Package,0,1,0
StagingtoEDWCSS_DimSponsorCSS,STOCK:SEQUENCE,0,1,0
StagingtoEDWCSS_DimSponsorCSS,Microsoft.ExecuteSQLTask,1,1,1
StagingtoEDWCSS_DimSessionCSS,Microsoft.Package,0,1,0
StagingtoEDWCSS_DimSessionCSS,STOCK:SEQUENCE,0,1,0
StagingtoEDWCSS_DimSessionCSS,Microsoft.ExecuteSQLTask,1,1,1
StagingtoEDWCSS_DimProgramCSS,Microsoft.Package,0,1,0
StagingtoEDWCSS_DimProgramCSS,STOCK:SEQUENCE,0,1,0
StagingtoEDWCSS_DimProgramCSS,Microsoft.ExecuteSQLTask,1,1,1
StagingtoEDWCSS_DimPaymentTypeCSS,Microsoft.Package,0,1,0
StagingtoEDWCSS_DimPaymentTypeCSS,STOCK:SEQUENCE,0,1,0
StagingtoEDWCSS_DimPaymentTypeCSS,Microsoft.ExecuteSQLTask,1,1,1
StagingtoEDWCSS_DimMartTuitionAssistanceProviderCSS,Microsoft.Package,0,1,0
StagingtoEDWCSS_DimMartTuitionAssistanceProviderCSS,Microsoft.ExecuteSQLTask,1,3,3
StagingtoEDWCSS_DimMartTuitionAssistanceProviderCSS,Microsoft.Pipeline,2,4,8
StagingtoEDWCSS_DimMartStudentCSS,Microsoft.Package,0,1,0
StagingtoEDWCSS_DimMartStudentCSS,Microsoft.ExecuteSQLTask,1,3,3
StagingtoEDWCSS_DimMartStudentCSS,Microsoft.Pipeline,2,4,8
StagingtoEDWCSS_DimMartSponsorCSS,Microsoft.Package,0,1,0
StagingtoEDWCSS_DimMartSponsorCSS,Microsoft.ExecuteSQLTask,1,3,3
StagingtoEDWCSS_DimMartSponsorCSS,Microsoft.Pipeline,2,4,8
StagingtoEDWCSS_DimFeeTypeCSS,Microsoft.Package,0,1,0
StagingtoEDWCSS_DimFeeTypeCSS,STOCK:SEQUENCE,0,1,0
StagingtoEDWCSS_DimFeeTypeCSS,Microsoft.ExecuteSQLTask,1,1,1
StagingtoEDWCSS_DimDiscountTypeCSS,Microsoft.Package,0,1,0
StagingtoEDWCSS_DimDiscountTypeCSS,STOCK:SEQUENCE,0,1,0
StagingtoEDWCSS_DimDiscountTypeCSS,Microsoft.ExecuteSQLTask,1,1,1
StagingtoEDWCSS_DimARAgencyTypeCSS,Microsoft.Package,0,1,0
StagingtoEDWCSS_DimARAgencyTypeCSS,STOCK:SEQUENCE,0,1,0
StagingtoEDWCSS_DimARAgencyTypeCSS,Microsoft.ExecuteSQLTask,1,1,1
StagingToEDW_StagingToEDW_Fact_StudentLead,Microsoft.Package,0,1,0
StagingToEDW_StagingToEDW_Fact_StudentLead,STOCK:SEQUENCE,0,4,0
