File_path,Estimation
DWBaseIncrementalLoad_ARBalanceMeasure,195
DWBaseIncrementalLoad_CalculatedMeasure,389
DWBaseIncrementalLoad_CenterStatusSnapshot,83
DWBaseIncrementalLoad_DWBaseParentPackage,33
DWBaseIncrementalLoad_DailyMeasureFTE,43
DWBaseIncrementalLoad_DailyMeasureNSE,16
DWBaseIncrementalLoad_DailyMeasureNetRevenue,40
DWBaseIncrementalLoad_FTESnapshotMeasure,611
DWBaseIncrementalLoad_GLBalancePlanAllocation_FTEMeasure,588
DWBaseIncrementalLoad_GLBalancePlanAllocation_LaborHoursMeasure,228
DWBaseIncrementalLoad_GLBalancePlanAllocation_LaborSalaryMeasure,423
DWBaseIncrementalLoad_GLBalancePlanAllocation_NetRevenueMeasure,1443
DWBaseIncrementalLoad_GLPlanAllocation_LaborHoursMeasure,110
DWBaseIncrementalLoad_LaborHoursMeasure,1243
DWBaseIncrementalLoad_LaborSalaryMeasure,291
DWBaseIncrementalLoad_LeadEventMeasure,195
DWBaseIncrementalLoad_LifeCycleStatusMeasure,67
DWBaseIncrementalLoad_NetRevenueMeasure,1555
StagingToEDW_BridgeCompanyRollup,1
StagingToEDW_BridgeSecurityPersonHRISGroup,1
StagingToEDW_BridgeSecurityPersonOrg,1
StagingToEDW_CompNonCompStatu,14
StagingToEDW_DimARAgencyType,1
StagingToEDW_DimAccountSubAccount,1
StagingToEDW_DimAdjustmentReason,1
StagingToEDW_DimAssessmentType,1
StagingToEDW_DimAssignmentType,1
StagingToEDW_DimClassroom,2
StagingToEDW_DimCompany,1
StagingToEDW_DimCompanyRollup,1
StagingToEDW_DimComplianceItem,1
StagingToEDW_DimComplianceRating,1
StagingToEDW_DimCostCenter,1
StagingToEDW_DimCostCenterType,1
StagingToEDW_DimCreditmemoType,1
StagingToEDW_DimDataScenario,6
StagingToEDW_DimDate,1
StagingToEDW_DimDate_DM,11
StagingToEDW_DimDiscountType,1
StagingToEDW_DimFeeType,1
StagingToEDW_DimHRUser,1
StagingToEDW_DimInvoiceType,1
StagingToEDW_DimLead,1
StagingToEDW_DimLeadEventType,1
StagingToEDW_DimLeadType,1
StagingToEDW_DimLeaveReason,1
StagingToEDW_DimLeaveType,1
StagingToEDW_DimLifecycleStatu,5
StagingToEDW_DimLocation,1
StagingToEDW_DimMartAccountSubAccount,41
StagingToEDW_DimMartCostCenter,47
StagingToEDW_DimMartPartner,22
StagingToEDW_DimMartProgram,33
StagingToEDW_DimMartSession,33
StagingToEDW_DimMartSponsor,22
StagingToEDW_DimMartStudent,22
StagingToEDW_DimMartTier,34
StagingToEDW_DimMartTuitionAssistanceProvider,33
StagingToEDW_DimMeasure,44
StagingToEDW_DimOrganization,1
StagingToEDW_DimPayBasi,1
StagingToEDW_DimPayGrade,1
StagingToEDW_DimPayRateChangeReason,1
StagingToEDW_DimPaymentType,1
StagingToEDW_DimPayrollType,1
StagingToEDW_DimPeopleGroup,1
StagingToEDW_DimPerformanceRating,1
StagingToEDW_DimPerson,1
StagingToEDW_DimPosition,1
StagingToEDW_DimProgram,1
StagingToEDW_DimQualificationType,1
StagingToEDW_DimReportProfile,1
StagingToEDW_DimRetentionBaseWeek,13
StagingToEDW_DimScheduleType,1
StagingToEDW_DimScheduleWeek,6
StagingToEDW_DimSession,1
StagingToEDW_DimSpecialInfo,1
StagingToEDW_DimSponsor,1
StagingToEDW_DimStudent,1
StagingToEDW_DimTier,1
StagingToEDW_DimTimeCalculation,3
StagingToEDW_DimTuitionAssistanceProvider,1
StagingToEDW_DimWebCampaign,1
StagingToEDW_FactARBalanceSnapshot,3
StagingToEDW_FactAdjustment,1
StagingToEDW_FactBilling,1
StagingToEDW_FactCenterStatSnapshot,1
StagingToEDW_FactEmployeeAssessment,1
StagingToEDW_FactEmployeeAssignment,1
StagingToEDW_FactEmployeeCompliance,1
StagingToEDW_FactEmployeeLeave,1
StagingToEDW_FactEmployeePayRate,1
StagingToEDW_FactEmployeePerformance,1
StagingToEDW_FactEmployeeQualification,1
StagingToEDW_FactFTESnapshot,1
StagingToEDW_FactFTESnapshotAcquired,1
StagingToEDW_FactFTESnapshotCSS,1
StagingToEDW_FactFTESnapshotPRO,1
StagingToEDW_FactGLBalance,1
StagingToEDW_FactGLBalancePlanAllocation,1
StagingToEDW_FactLaborHourAcquired,1
StagingToEDW_FactLaborHourActual,1
StagingToEDW_FactLaborHourTarget,1
StagingToEDW_FactLaborHourTargetLegacy,1
StagingToEDW_FactLaborHourTargetPRO,1
StagingToEDW_FactLaborSalary,1
StagingToEDW_FactLeadEvent,1
StagingToEDW_FactLeadPipeline,1
StagingToEDW_FactLifecycleStatusSnapshot,1
StagingToEDW_FactNetRevenue,1
StagingToEDW_FactNetRevenueAcquired,1
StagingToEDW_FactNetRevenueHOR,1
StagingToEDW_FactNetRevenuePRO,1
StagingToEDW_FactPartnerVerifiedSponsor,20
StagingToEDW_FactPayment,1
StagingToEDW_FactPaymentApplied,1
StagingToEDW_FactPersonSpecialInfo,1
StagingToEDW_FactProgramDetail,17
StagingToEDW_FactSessionEnrollment,1
StagingToEDW_FactTierAssignment,1
StagingToEDW_MartToEDW_CostCenter_OneTimeLoadforCompNonComp,62
StagingToEDW_MartToEDW_DimMartCostCenter_IXV,20
StagingToEDW_OneTimeDimMartAccountSubAccount,9
StagingToEDW_ReportMeasure,14
StagingToEDW_ReportProfile,12
StagingToEDW_StagingToEDWParentPackage,14
StagingToEDW_StagingToEDW_DimensionParent,12
StagingToEDW_StagingToEDW_Dimension_CenterManagement,72
StagingToEDW_StagingToEDW_Dimension_GLandHR,35
StagingToEDW_StagingToEDW_Dimension_StudentLead,3
StagingToEDW_StagingToEDW_FactParent,24
StagingToEDW_StagingToEDW_Fact_ARBalanceSnapshot,2
StagingToEDW_StagingToEDW_Fact_BillingPaymentTransaction,4
StagingToEDW_StagingToEDW_Fact_CenterManagementEnrollment,6
StagingToEDW_StagingToEDW_Fact_CenterManagementRevenue,6
StagingToEDW_StagingToEDW_Fact_FTESnapshot,3
StagingToEDW_StagingToEDW_Fact_GLBalance,2
StagingToEDW_StagingToEDW_Fact_GLBalancePlanAllocation,1
StagingToEDW_StagingToEDW_Fact_HREmployee,8
StagingToEDW_StagingToEDW_Fact_Labor,12
StagingToEDW_StagingToEDW_Fact_LifecycleStatusSnapshot,1
StagingToEDW_StagingToEDW_Fact_StudentLead,3
StagingtoEDWCSS_DimARAgencyTypeCSS,1
StagingtoEDWCSS_DimDiscountTypeCSS,1
StagingtoEDWCSS_DimFeeTypeCSS,1
StagingtoEDWCSS_DimMartSponsorCSS,11
StagingtoEDWCSS_DimMartStudentCSS,11
StagingtoEDWCSS_DimMartTuitionAssistanceProviderCSS,11
StagingtoEDWCSS_DimPaymentTypeCSS,1
StagingtoEDWCSS_DimProgramCSS,1
StagingtoEDWCSS_DimSessionCSS,1
StagingtoEDWCSS_DimSponsorCSS,1
StagingtoEDWCSS_DimStudentCSS,1
StagingtoEDWCSS_DimTierCSS,1
StagingtoEDWCSS_DimTransactionCodeCSS,1
StagingtoEDWCSS_DimTuitionAssistanceProviderCSS,1
StagingtoEDWCSS_FactFTESnapshotCSS,1
StagingtoEDWCSS_FactLaborHourTarget,1
StagingtoEDWCSS_FactLifeCycleStatusSnapshot,1
StagingtoEDWCSS_FactNetRevenueCSS,1
