File_path,store_procedure_name,Extracted,db
DataLakeBaseToMart_DimAccreditation,spBeginAuditLog,update  audit table  before the DML operation on the table ,No db found
DataLakeBaseToMart_DimAccreditation,spBeginAuditLog,INSERT INTO AuditLog,No db found
DataLakeBaseToMart_DimAccreditation,spEndAuditLog,update  audit table after the DML operation on the table,No db found
DataLakeBaseToMart_DimAccreditation,spEndAuditLog,FROM AuditLog,No db found
DataLakeBaseToMart_DimAccreditation,spEndAuditLog,UPDATE	AuditLog,No db found
DataLakeBaseToMart_DimAge,spBeginAuditLog,update  audit table  before the DML operation on the table ,No db found
DataLakeBaseToMart_DimAge,spBeginAuditLog,INSERT INTO AuditLog,No db found
DataLakeBaseToMart_DimAge,spEndAuditLog,update  audit table after the DML operation on the table,No db found
DataLakeBaseToMart_DimAge,spEndAuditLog,FROM AuditLog,No db found
DataLakeBaseToMart_DimAge,spEndAuditLog,UPDATE	AuditLog,No db found
DataLakeBaseToMart_DimAssessment,spBeginAuditLog,update  audit table  before the DML operation on the table ,No db found
DataLakeBaseToMart_DimAssessment,spBeginAuditLog,INSERT INTO AuditLog,No db found
DataLakeBaseToMart_DimAssessment,spEndAuditLog,update  audit table after the DML operation on the table,No db found
DataLakeBaseToMart_DimAssessment,spEndAuditLog,FROM AuditLog,No db found
DataLakeBaseToMart_DimAssessment,spEndAuditLog,UPDATE	AuditLog,No db found
DataLakeBaseToMart_DimAssignment,spBeginAuditLog,update  audit table  before the DML operation on the table ,No db found
DataLakeBaseToMart_DimAssignment,spBeginAuditLog,INSERT INTO AuditLog,No db found
DataLakeBaseToMart_DimAssignment,spEndAuditLog,update  audit table after the DML operation on the table,No db found
DataLakeBaseToMart_DimAssignment,spEndAuditLog,FROM AuditLog,No db found
DataLakeBaseToMart_DimAssignment,spEndAuditLog,UPDATE	AuditLog,No db found
DataLakeBaseToMart_DimEvent,spBeginAuditLog,update  audit table  before the DML operation on the table ,No db found
DataLakeBaseToMart_DimEvent,spBeginAuditLog,INSERT INTO AuditLog,No db found
DataLakeBaseToMart_DimEvent,spEndAuditLog,update  audit table after the DML operation on the table,No db found
DataLakeBaseToMart_DimEvent,spEndAuditLog,FROM AuditLog,No db found
DataLakeBaseToMart_DimEvent,spEndAuditLog,UPDATE	AuditLog,No db found
DataLakeBaseToMart_DimPayGrade,spBeginAuditLog,update  audit table  before the DML operation on the table ,No db found
DataLakeBaseToMart_DimPayGrade,spBeginAuditLog,INSERT INTO AuditLog,No db found
DataLakeBaseToMart_DimPayGrade,spEndAuditLog,update  audit table after the DML operation on the table,No db found
DataLakeBaseToMart_DimPayGrade,spEndAuditLog,FROM AuditLog,No db found
DataLakeBaseToMart_DimPayGrade,spEndAuditLog,UPDATE	AuditLog,No db found
DataLakeBaseToMart_DimPerson,spBeginAuditLog,update  audit table  before the DML operation on the table ,No db found
DataLakeBaseToMart_DimPerson,spBeginAuditLog,INSERT INTO AuditLog,No db found
DataLakeBaseToMart_DimPerson,spEndAuditLog,update  audit table after the DML operation on the table,No db found
DataLakeBaseToMart_DimPerson,spEndAuditLog,FROM AuditLog,No db found
DataLakeBaseToMart_DimPerson,spEndAuditLog,UPDATE	AuditLog,No db found
DataLakeBaseToMart_DimPerson,spDimPersonSupervisorLoad,FROM DimPerson. Runtime ,DimPerson
DataLakeBaseToMart_DimPerson,spDimPersonSupervisorLoad,from source,No db found
DataLakeBaseToMart_DimPerson,spDimPersonSupervisorLoad,DECLARE @ProcName NVARCHAR,No db found
DataLakeBaseToMart_DimPerson,spDimPersonSupervisorLoad,DECLARE @DebugMsg NVARCHAR,No db found
DataLakeBaseToMart_DimPerson,spDimPersonSupervisorLoad,DECLARE @SourceName VARCHAR,No db found
DataLakeBaseToMart_DimPerson,spDimPersonSupervisorLoad,DECLARE @RowCount INT,No db found
DataLakeBaseToMart_DimPerson,spDimPersonSupervisorLoad,DECLARE @Error INT,No db found
DataLakeBaseToMart_DimPerson,spDimPersonSupervisorLoad,DECLARE @SourceCount INT,No db found
DataLakeBaseToMart_DimPerson,spDimPersonSupervisorLoad,DECLARE @InsertCount INT,No db found
DataLakeBaseToMart_DimPerson,spDimPersonSupervisorLoad,DECLARE @UpdateCount INT,No db found
DataLakeBaseToMart_DimPerson,spDimPersonSupervisorLoad,DECLARE @DeleteCount INT,No db found
DataLakeBaseToMart_DimPerson,spDimPersonSupervisorLoad,DECLARE @EffectiveTo Datetime2,No db found
DataLakeBaseToMart_DimPerson,spDimPersonSupervisorLoad,DECLARE @tblMergeActions TABLE,No db found
DataLakeBaseToMart_DimPerson,spDimPersonSupervisorLoad,DECLARE @tblDeleteActions TABLE,No db found
DataLakeBaseToMart_DimPerson,spDimPersonSupervisorLoad,from DimPerson based on [DimPerson].[SupervisorNumber] ,[DimPerson]
DataLakeBaseToMart_DimPerson,spDimPersonSupervisorLoad,From [DW_Mart].Sys.Tables Where Name ,[DW_Mart]
DataLakeBaseToMart_DimPerson,spDimPersonSupervisorLoad,"From
		  FROM [DW_MART].[dbo].[DimPerson] as p ",[DW_MART]
DataLakeBaseToMart_DimPerson,spDimPersonSupervisorLoad,JOIN [DW_Mart].dbo.DimPerson as s ,[DW_Mart]
DataLakeBaseToMart_DimPerson,spDimPersonSupervisorLoad,Insert Into [DimPersonSupervisor],No db found
DataLakeBaseToMart_DimPerson,spDimPersonSupervisorLoad,From PersonSupervisorColumns,No db found
DataLakeBaseToMart_DimPerson,spDimPersonSupervisorLoad,FROM [DW_Mart].dbo.DimPerson,[DW_Mart]
DataLakeBaseToMart_DimPerson,spDimPersonSupervisorLoad,FROM [DW_Mart].dbo.DimPersonSupervisor,[DW_Mart]
DataLakeBaseToMart_DimPerson,spDimPersonSupervisorLoad,from DimPerson and loaded ,No db found
DataLakeBaseToMart_DimPerson,spDimPersonSupervisorLoad,DECLARE @ErrMsg NVARCHAR,No db found
DataLakeBaseToMart_DimPosition,spBeginAuditLog,update  audit table  before the DML operation on the table ,No db found
DataLakeBaseToMart_DimPosition,spBeginAuditLog,INSERT INTO AuditLog,No db found
DataLakeBaseToMart_DimPosition,spEndAuditLog,update  audit table after the DML operation on the table,No db found
DataLakeBaseToMart_DimPosition,spEndAuditLog,FROM AuditLog,No db found
DataLakeBaseToMart_DimPosition,spEndAuditLog,UPDATE	AuditLog,No db found
DataLakeBaseToMart_DimTermination,spBeginAuditLog,update  audit table  before the DML operation on the table ,No db found
DataLakeBaseToMart_DimTermination,spBeginAuditLog,INSERT INTO AuditLog,No db found
DataLakeBaseToMart_DimTermination,spEndAuditLog,update  audit table after the DML operation on the table,No db found
DataLakeBaseToMart_DimTermination,spEndAuditLog,FROM AuditLog,No db found
DataLakeBaseToMart_DimTermination,spEndAuditLog,UPDATE	AuditLog,No db found
