package_name,difficulty,hours,days
DWBaseIncrementalLoad_NetRevenueMeasure,1555,110,"18,3"
DWBaseIncrementalLoad_GLBalancePlanAllocation_NetRevenueMeasure,1443,102,17
DWBaseIncrementalLoad_LaborHoursMeasure,1243,88,"14,7"
DWBaseIncrementalLoad_FTESnapshotMeasure,611,88,"14,7"
DWBaseIncrementalLoad_GLBalancePlanAllocation_FTEMeasure,588,85,"14,2"
DWBaseIncrementalLoad_GLBalancePlanAllocation_LaborSalaryMeasure,423,61,"10,2"
DWBaseIncrementalLoad_CalculatedMeasure,389,56,"9,3"
DWBaseIncrementalLoad_LaborSalaryMeasure,291,42,7
DWBaseIncrementalLoad_GLBalancePlanAllocation_LaborHoursMeasure,228,33,"5,5"
DWBaseIncrementalLoad_ARBalanceMeasure,195,28,"4,7"
DWBaseIncrementalLoad_LeadEventMeasure,195,28,"4,7"
DWBaseIncrementalLoad_GLPlanAllocation_LaborHoursMeasure,110,16,"2,7"
DWBaseIncrementalLoad_CenterStatusSnapshot,83,50,"8,3"
StagingToEDW_StagingToEDW_Dimension_CenterManagement,72,43,"7,2"
DWBaseIncrementalLoad_LifeCycleStatusMeasure,67,40,"6,7"
StagingToEDW_MartToEDW_CostCenter_OneTimeLoadforCompNonComp,62,37,"6,2"
StagingToEDW_DimMartCostCenter,47,28,"4,7"
StagingToEDW_DimMeasure,44,26,"4,3"
DWBaseIncrementalLoad_DailyMeasureFTE,43,25,"4,2"
StagingToEDW_DimMartAccountSubAccount,41,24,4
DWBaseIncrementalLoad_DailyMeasureNetRevenue,40,23,"3,8"
StagingToEDW_StagingToEDW_Dimension_GLandHR,35,20,"3,3"
StagingToEDW_DimMartTier,34,19,"3,2"
DWBaseIncrementalLoad_DWBaseParentPackage,33,18,3
StagingToEDW_DimMartProgram,33,18,3
StagingToEDW_DimMartSession,33,18,3
StagingToEDW_DimMartTuitionAssistanceProvider,33,18,3
StagingToEDW_StagingToEDW_FactParent,24,13,"2,2"
StagingToEDW_DimMartPartner,22,12,2
StagingToEDW_DimMartSponsor,22,12,2
StagingToEDW_DimMartStudent,22,12,2
StagingToEDW_FactPartnerVerifiedSponsor,20,11,"1,8"
StagingToEDW_MartToEDW_DimMartCostCenter_IXV,20,11,"1,8"
StagingToEDW_FactProgramDetail,17,9,"1,5"
DWBaseIncrementalLoad_DailyMeasureNSE,16,8,"1,3"
StagingToEDW_CompNonCompStatu,14,7,"1,2"
StagingToEDW_ReportMeasure,14,7,"1,2"
StagingToEDW_StagingToEDWParentPackage,14,7,"1,2"
StagingToEDW_DimRetentionBaseWeek,13,7,"1,2"
StagingToEDW_ReportProfile,12,6,1
StagingToEDW_StagingToEDW_DimensionParent,12,6,1
StagingToEDW_StagingToEDW_Fact_Labor,12,6,1
StagingToEDW_DimDate_DM,11,6,1
StagingtoEDWCSS_DimMartSponsorCSS,11,6,1
StagingtoEDWCSS_DimMartStudentCSS,11,6,1
StagingtoEDWCSS_DimMartTuitionAssistanceProviderCSS,11,6,1
StagingToEDW_OneTimeDimMartAccountSubAccount,9,5,"0,8"
StagingToEDW_StagingToEDW_Fact_HREmployee,8,4,"0,7"
StagingToEDW_DimDataScenario,6,3,"0,5"
StagingToEDW_DimScheduleWeek,6,3,"0,5"
StagingToEDW_StagingToEDW_Fact_CenterManagementEnrollment,6,3,"0,5"
StagingToEDW_StagingToEDW_Fact_CenterManagementRevenue,6,3,"0,5"
StagingToEDW_DimLifecycleStatu,5,3,"0,5"
StagingToEDW_StagingToEDW_Fact_BillingPaymentTransaction,4,2,"0,5"
StagingToEDW_DimTimeCalculation,3,2,"0,5"
StagingToEDW_FactARBalanceSnapshot,3,2,"0,5"
StagingToEDW_StagingToEDW_Dimension_StudentLead,3,2,"0,5"
StagingToEDW_StagingToEDW_Fact_FTESnapshot,3,2,"0,5"
StagingToEDW_StagingToEDW_Fact_StudentLead,3,2,"0,5"
StagingToEDW_DimClassroom,2,1,"0,5"
StagingToEDW_StagingToEDW_Fact_ARBalanceSnapshot,2,1,"0,5"
