,RefId,SqlTaskData,ExecutableType,ObjectName,componentClassID,contactInfo,description,name,File_path
0,Package\Back-up Transaction Log after CMS Load\Execute spBackupTranLog,EXEC spBackupTranLog 'BING_EDW',1,1,0,0,0,0,1
1,Package\Base - B1 Data Load\SQL - Begin Base Load Audit Log,"EXECUTE [dbo].[spBeginAuditLog] ? OUTPUT, ?, ?
GO",2,2,0,0,0,0,2
2,Package\Base - B1 Data Load\SQL - End Landing Audit Log,"EXECUTE [dbo].[spEndAuditLog] ?, ?, ?, ?, ?, ?
GO",2,2,0,0,0,0,2
3,Package\Base - B1 Data Load\SQL - Get the LastProcessed Date,"IF NOT EXISTS (SELECT 1 FROM dbo.ETLBatchControl WHERE TableName = ?)
	BEGIN
		INSERT INTO dbo.ETLBatchControl (TableName) VALUES (?)
	END

DECLARE @LastProcessedDate DATETIME = (SELECT LastProcessedDate FROM dbo.ETLBatchControl WHERE TableName = ?);
DECLARE @BaseCreatedDate DATETIME = (SELECT MAX(BaseCreatedDate) FROM dbo.PersonBN);

IF @LastProcessedDate IS NULL OR @BaseCreatedDate IS NULL
SET @LastProcessedDate = (SELECT CAST('1900-01-01' AS DATE));

SELECT @LastProcessedDate AS LastProcessedDate;

",2,2,0,0,0,0,2
4,Package\Base - B1 Data Load\SQL - Truncate B1 table,TRUNCATE TABLE dbo.AssignmentB1,1,1,0,0,0,0,1
5,Package\Base - B1 Data Load\SQL - Truncate B1 table,TRUNCATE TABLE dbo.PersonB1,1,1,0,0,0,0,1
6,Package\Base - BN Data Load\SQL - Begin Base Load Audit Log,"EXECUTE [dbo].[spBeginAuditLog] ? OUTPUT, ?, ?
GO",2,2,0,0,0,0,2
7,Package\Base - BN Data Load\SQL - Delete records from PersonBN,"DELETE p
FROM dbo.AssignmentBN p 
JOIN (SELECT *
FROM HR_Landing.dbo.AssignmentB1 vpbn
WHERE EXISTS
(
    SELECT 1
    FROM dbo.AssignmentBN pbn
    WHERE pbn.AssignmentID = vpbn.AssignmentID
 AND pbn.EffectiveStartDate = vpbn.EffectiveStartDate
    AND pbn.BaseEffectiveDate = vpbn.BaseEffectiveDate
)
)A ON p.AssignmentID = a.AssignmentID AND p.EffectiveStartDate = a.EffectiveStartDate AND p.BaseEffectiveDate = a.BaseEffectiveDate

SELECT @@ROWCOUNT AS DeleteCount ;",1,1,0,0,0,0,1
8,Package\Base - BN Data Load\SQL - Delete records from PersonBN,"DELETE p
FROM dbo.PersonBN p 
JOIN (SELECT *
FROM HR_Landing.dbo.PersonB1 vpbn
WHERE EXISTS
(
    SELECT 1
    FROM dbo.PersonBN pbn
    WHERE pbn.PersonID = vpbn.PersonID
 AND pbn.EffectiveStartDate = vpbn.EffectiveStartDate
    AND pbn.BaseEffectiveDate = vpbn.BaseEffectiveDate
)
)A ON p.PersonID = a.PersonID AND p.EffectiveStartDate = a.EffectiveStartDate AND p.BaseEffectiveDate = a.BaseEffectiveDate

SELECT @@ROWCOUNT AS DeleteCount ;",1,1,0,0,0,0,1
9,Package\Base - BN Data Load\SQL - Delete records from PersonBN not in source,"DELETE pbn
FROM dbo.AssignmentBN pbn
WHERE NOT EXISTS
(
    SELECT 1
    FROM dbo.vAssignmentBN vpbn
    WHERE pbn.AssignmentID = vpbn.AssignmentID
	AND pbn.EffectiveStartDate = vpbn.EffectiveStartDate
    AND pbn.BaseEffectiveDate = vpbn.BaseEffectiveDate
)

SELECT @@ROWCOUNT + ? AS DeleteCount ;",1,1,0,0,0,0,1
