File_path,value_1,value_2,value_3,value_4,value_5,value_6
DataLakeHRISToBase_Project.params,Data Source=PDX1BIIS1D,Initial Catalog=HR_Base,Provider=SQLNCLI11.1,Integrated Security=SSPI,Auto Translate=False,
DataLakeHRISToBase_Project.params,Data Source=PDX1BIIS1D,Initial Catalog=HR_Landing,Provider=SQLNCLI11.1,Integrated Security=SSPI,Auto Translate=False,
DataLakeHRISToBase_Project.params,Dsn=Simba Athena,,,,,
DataLakeHRISToBase_Project.params,Data Source=PDX1BIIS1D,Initial Catalog=Rejection,Provider=SQLNCLI11.1,Integrated Security=SSPI,Auto Translate=False,
DataLakeHRISToBase_Project.params,Data Source=pdx1biis1d,Initial Catalog=SSISDB,Provider=SQLNCLI11.1,Integrated Security=SSPI,Auto Translate=False,
DataLakeHRISToBase_Project.params,Dsn=Simba Athena_Audit,,,,,
DataLakeHRISToBase_Project.params,Data Source=pdx1biis1d,Initial Catalog=DW_MART,Provider=SQLNCLI11.1,Integrated Security=SSPI,Auto Translate=False,
DWBaseIncrementalLoad_Project.params,Data Source=Pdx1biis1d,Initial Catalog=BING_EDW,Provider=SQLNCLI11.1,Integrated Security=SSPI,Auto Translate=False,
DWBaseIncrementalLoad_Project.params,Data Source=Pdx1biis1d,Initial Catalog=DW_Base,Provider=SQLNCLI11.1,Integrated Security=SSPI,Auto Translate=False,
DWBaseIncrementalLoad_Project.params,Data Source=PDX1BIIS1D,Initial Catalog=Staging,Provider=SQLNCLI11.1,Integrated Security=SSPI,Auto Translate=False,
StagingtoEDWCSS_Project.params,Data Source=PDX1BIIS1D,Initial Catalog=BING_EDW,Provider=SQLNCLI11.1,Integrated Security=SSPI,Auto Translate=False,
StagingtoEDWCSS_Project.params,Data Source=pdx1biis1d,Initial Catalog=CSS_Staging,Provider=SQLNCLI11.1,Integrated Security=SSPI,Auto Translate=False,
StagingtoEDWCSS_Project.params,Data Source=PDX1BIIS1D,Initial Catalog=SSISDB,Provider=SQLNCLI11.1,Integrated Security=SSPI,Auto Translate=False,
StagingtoEDWCSS_Project.params,Data Source=PDX1BIIS1D,Initial Catalog=DW_MART,Provider=SQLNCLI11.1,Integrated Security=SSPI,Auto Translate=False,
StagingToEDW_Project.params,Data Source=P1bngstn1d01.corp.edu-resources.com,Initial Catalog=BING_EDW,Provider=SQLNCLI11.1,Integrated Security=SSPI,Auto Translate=False,
StagingToEDW_Project.params,Data Source=PDX1BIIS1D.corp.edu-resources.com,Initial Catalog=SSISDB,Provider=SQLNCLI11.1,Integrated Security=SSPI,Auto Translate=False,
StagingToEDW_Project.params,Data Source=P1bngstn1d01.corp.edu-resources.com,Initial Catalog=CMS_Staging,Provider=SQLNCLI11.1,Integrated Security=SSPI,Auto Translate=False,
StagingToEDW_Project.params,Data Source=p1bngstn1d01,Initial Catalog=GL_Staging,Provider=SQLNCLI11.1,Integrated Security=SSPI,Auto Translate=False,
StagingToEDW_Project.params,Data Source=pdx1biis1d,Initial Catalog=CSS_Staging,Provider=SQLNCLI11.1,Integrated Security=SSPI,Auto Translate=False,
StagingToEDW_Project.params,Data Source=pdx1biis1d,Initial Catalog=Horizon_Staging, Provider=SQLNCLI11.1,Integrated Security=SSPI,Auto Translate=False,
StagingToEDW_Project.params,Data Source=pdx1biis1d,Initial Catalog=Cambridge_Staging,Provider=SQLNCLI11.1,Integrated Security=SSPI,Auto Translate=False,
StagingToEDW_Project.params,Data Source=pdx1biis1d,Initial Catalog=tempdb,Provider=SQLNCLI11.1,Integrated Security=SSPI,Auto Translate=False,
StagingToEDW_Project.params,Data Source=PDX1BIIS1D.corp.edu-resources.com,Initial Catalog=HR_Staging,Provider=SQLNCLI11.1,Integrated Security=SSPI,Auto Translate=False,
StagingToEDW_Project.params,Data Source=P1bngstn1d01,Initial Catalog=MISC_Staging,Provider=SQLNCLI11.1,Integrated Security=SSPI,Auto Translate=False,
StagingToEDW_Project.params,Data Source=PDX1BIIS1D,Initial Catalog=SalesForce_Staging,Provider=SQLNCLI11.1,Integrated Security=SSPI,Auto Translate=False,
StagingToEDW_Project.params,Data Source=P1bngdmn1d01,Initial Catalog=DW_MART,Provider=SQLNCLI11.1,Integrated Security=SSPI,Auto Translate=False,
StagingToEDW_Project.params,Data Source=PDX1BIIS1D,Initial Catalog=DW_Base,Provider=SQLNCLI11.1,Integrated Security=SSPI,Auto Translate=False,
StagingToEDW_Project.params,Data Source=PDX1BIIS1D,Initial Catalog=Staging,Provider=SQLNCLI11.1,Integrated Security=SSPI,Auto Translate=False,
StagingToEDW_Project.params,\\corp\share\BI Interfaces\DEV\BINGEDWSourceFiles\Measures\Measures.xlsx,,,,,
StagingToEDW_Project.params,\\corp\share\BI Interfaces\DEV\BINGEDWSourceFiles\ReportMeasures\Report Measure.xlsx,,,,,
StagingToEDW_Project.params,RBW,,,,,
StagingToEDW_Project.params,06/30/2011,,,,,
StagingToEDW_Project.params,Data Source=P1bngdmn1d01,Initial Catalog=DW_Landing,Provider=SQLNCLI11.1,Integrated Security=SSPI,Auto Translate=False,
