File_path,store_procedure_name
DWBaseIncrementalLoad_ARBalanceMeasure,spEndAuditLog
DWBaseIncrementalLoad_ARBalanceMeasure,spBeginAuditLog
DWBaseIncrementalLoad_CalculatedMeasure,spEndAuditLog
DWBaseIncrementalLoad_CalculatedMeasure,spBeginAuditLog
DWBaseIncrementalLoad_CalculatedMeasure,SpPopulateNSESupport
DWBaseIncrementalLoad_CenterStatusSnapshot,spEndAuditLog
DWBaseIncrementalLoad_CenterStatusSnapshot,spBeginAuditLog
DWBaseIncrementalLoad_DailyMeasureFTE,spEndAuditLog
DWBaseIncrementalLoad_DailyMeasureFTE,spBeginAuditLog
DWBaseIncrementalLoad_DailyMeasureNetRevenue,spEndAuditLog
DWBaseIncrementalLoad_DailyMeasureNetRevenue,spBeginAuditLog
DWBaseIncrementalLoad_DailyMeasureNSE,spEndAuditLog
DWBaseIncrementalLoad_DailyMeasureNSE,spBeginAuditLog
DWBaseIncrementalLoad_DailyMeasureNSE,SpPopulateNSESupportSD
DWBaseIncrementalLoad_FTESnapshotMeasure,spEndAuditLog
DWBaseIncrementalLoad_FTESnapshotMeasure,spBeginAuditLog
DWBaseIncrementalLoad_GLBalancePlanAllocation_FTEMeasure,spEndAuditLog
DWBaseIncrementalLoad_GLBalancePlanAllocation_FTEMeasure,spBeginAuditLog
DWBaseIncrementalLoad_GLBalancePlanAllocation_LaborHoursMeasure,spEndAuditLog
DWBaseIncrementalLoad_GLBalancePlanAllocation_LaborHoursMeasure,spBeginAuditLog
DWBaseIncrementalLoad_GLBalancePlanAllocation_LaborSalaryMeasure,spEndAuditLog
DWBaseIncrementalLoad_GLBalancePlanAllocation_LaborSalaryMeasure,spBeginAuditLog
DWBaseIncrementalLoad_GLBalancePlanAllocation_NetRevenueMeasure,spEndAuditLog
DWBaseIncrementalLoad_GLBalancePlanAllocation_NetRevenueMeasure,spBeginAuditLog
DWBaseIncrementalLoad_GLPlanAllocation_LaborHoursMeasure,spBeginAuditLog
DWBaseIncrementalLoad_GLPlanAllocation_LaborHoursMeasure,spEndAuditLog
DWBaseIncrementalLoad_LaborHoursMeasure,spEndAuditLog
DWBaseIncrementalLoad_LaborHoursMeasure,spBeginAuditLog
DWBaseIncrementalLoad_LaborSalaryMeasure,spEndAuditLog
DWBaseIncrementalLoad_LaborSalaryMeasure,spBeginAuditLog
DWBaseIncrementalLoad_LeadEventMeasure,spEndAuditLog
DWBaseIncrementalLoad_LeadEventMeasure,spBeginAuditLog
DWBaseIncrementalLoad_LifeCycleStatusMeasure,spEndAuditLog
DWBaseIncrementalLoad_LifeCycleStatusMeasure,spBeginAuditLog
DWBaseIncrementalLoad_NetRevenueMeasure,spEndAuditLog
DWBaseIncrementalLoad_NetRevenueMeasure,spBeginAuditLog
StagingtoEDWCSS_DimARAgencyTypeCSS,spCSS_StagingToEDW_DimARAgencyType
